Algorithm,Function,Instance,Dimension,ERT,min_ERT,RELERT
BIPOP-aCMA-STEP_loshchilov_noiseless,5,4,2,9.0,3.0,3.0
BIPOP-aCMA-STEP_loshchilov_noiseless,5,4,3,11.0,11.0,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,5,4,5,24.0,20.0,1.2
BIPOP-aCMA-STEP_loshchilov_noiseless,5,4,10,30.0,30.0,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,5,5,2,12.0,3.0,4.0
BIPOP-aCMA-STEP_loshchilov_noiseless,5,5,3,16.0,11.0,1.4545454545454546
BIPOP-aCMA-STEP_loshchilov_noiseless,5,5,5,20.0,20.0,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,5,5,10,57.0,30.0,1.9
BIPOP-aCMA-STEP_loshchilov_noiseless,6,1,2,534.55,152.73684210526315,3.4998104755341144
BIPOP-aCMA-STEP_loshchilov_noiseless,6,1,3,779.7,292.70588235294116,2.6637660771704184
BIPOP-aCMA-STEP_loshchilov_noiseless,6,1,5,1580.7333333333333,775.7222222222222,2.0377569290267137
BIPOP-aCMA-STEP_loshchilov_noiseless,6,1,10,3282.9032258064517,2582.548387096774,1.2711874992193257
BIPOP-aCMA-STEP_loshchilov_noiseless,6,2,2,544.3333333333334,152.73684210526315,3.5638640018378136
BIPOP-aCMA-STEP_loshchilov_noiseless,6,2,3,611.25,292.70588235294116,2.0882737138263665
BIPOP-aCMA-STEP_loshchilov_noiseless,6,2,5,1287.9565217391305,775.7222222222222,1.660332119981691
BIPOP-aCMA-STEP_loshchilov_noiseless,6,2,10,3861.9333333333334,2582.548387096774,1.4953963118866502
BIPOP-aCMA-STEP_loshchilov_noiseless,6,3,2,620.4,152.73684210526315,4.061888352860096
BIPOP-aCMA-STEP_loshchilov_noiseless,6,3,3,786.0,292.70588235294116,2.6852893890675245
BIPOP-aCMA-STEP_loshchilov_noiseless,6,3,5,1790.6153846153845,775.7222222222222,2.3083203411213153
BIPOP-aCMA-STEP_loshchilov_noiseless,6,3,10,4445.366666666667,2582.548387096774,1.721310117121956
BIPOP-aCMA-STEP_loshchilov_noiseless,6,4,2,458.26666666666665,152.73684210526315,3.0003675626005055
BIPOP-aCMA-STEP_loshchilov_noiseless,6,4,3,926.4285714285714,292.70588235294116,3.16504937988057
BIPOP-aCMA-STEP_loshchilov_noiseless,6,4,5,1687.4166666666667,775.7222222222222,2.1752846809424913
BIPOP-aCMA-STEP_loshchilov_noiseless,6,4,10,3999.233333333333,2582.548387096774,1.5485608530375514
BIPOP-aCMA-STEP_loshchilov_noiseless,6,5,2,428.6470588235294,152.73684210526315,2.806441804840475
BIPOP-aCMA-STEP_loshchilov_noiseless,6,5,3,742.8260869565217,292.70588235294116,2.537790088074934
BIPOP-aCMA-STEP_loshchilov_noiseless,6,5,5,1797.7916666666667,775.7222222222222,2.31757143880255
BIPOP-aCMA-STEP_loshchilov_noiseless,6,5,10,3892.366666666667,2582.548387096774,1.5071805376867895
BIPOP-aCMA-STEP_loshchilov_noiseless,7,1,2,407.3333333333333,94.0,4.333333333333333
BIPOP-aCMA-STEP_loshchilov_noiseless,7,1,3,1177.0,209.66666666666666,5.613672496025438
